     Lat[deg]     Lon[deg]   Disp_north    Disp_east    Disp_down    Stress_nn    Stress_ee    Stress_dd    Stress_ne    Stress_ed    Stress_dn       Tilt_n       Tilt_e     Rotation        Geoid      Gravity      CFS_Max      CFS_Mas  CFS_Mas_Opt    Sigma_Mas Rake_Mas_Opt      CFS_Opt  Sigma_Opt_1 Strike_Opt_1    Dip_Opt_1   Rake_Opt_1  Sigma_Opt_2 Strike_Opt_2    Dip_Opt_2   Rake_Opt_2
    31.320000   102.000000 -0.28647E-01  0.14681E+00 -0.16596E-01 -0.64401E+04  0.12299E+06  0.10935E+04  0.31669E+03 -0.13152E+05  0.22764E+03  0.22339E-06 -0.33543E-06  0.43502E-06  0.00000E+00 -0.51161E-07 -0.37670E+05 -0.37821E+05 -0.37778E+05  0.72511E+04  0.11982E+03 -0.37516E+05  0.70005E+04  0.22955E+03  0.33044E+02  0.12005E+03  0.42225E+05  0.35403E+03  0.29846E+02  0.56723E+02
    31.380000   102.000000 -0.31971E-01  0.14946E+00 -0.17970E-01 -0.49723E+04  0.12424E+06  0.10841E+04 -0.51994E+04 -0.13158E+05  0.79597E+03  0.21882E-06 -0.32000E-06  0.39187E-06  0.00000E+00 -0.55395E-07 -0.39760E+05 -0.39889E+05 -0.39851E+05  0.88765E+04  0.11983E+03 -0.39630E+05  0.86423E+04  0.22950E+03  0.33034E+02  0.12004E+03  0.42199E+05  0.35400E+03  0.29848E+02  0.56744E+02
    31.440000   102.000000 -0.35167E-01  0.15123E+00 -0.19185E-01 -0.31778E+04  0.12420E+06  0.10655E+04 -0.10433E+05 -0.13039E+05  0.13285E+04  0.21214E-06 -0.30313E-06  0.34759E-06  0.00000E+00 -0.59141E-07 -0.41395E+05 -0.41501E+05 -0.41469E+05  0.10404E+05  0.11985E+03 -0.41288E+05  0.10191E+05  0.22944E+03  0.33024E+02  0.12004E+03  0.41759E+05  0.35397E+03  0.29851E+02  0.56764E+02
    31.500000   102.000000 -0.38182E-01  0.15214E+00 -0.20237E-01 -0.11337E+04  0.12301E+06  0.10387E+04 -0.15285E+05 -0.12807E+05  0.18160E+04  0.20354E-06 -0.28526E-06  0.30304E-06  0.00000E+00 -0.62385E-07 -0.42578E+05 -0.42662E+05 -0.42637E+05  0.11806E+05  0.11986E+03 -0.42492E+05  0.11616E+05  0.22939E+03  0.33015E+02  0.12003E+03  0.40953E+05  0.35393E+03  0.29854E+02  0.56782E+02
    31.560000   102.000000 -0.40972E-01  0.15224E+00 -0.21124E-01  0.10841E+04  0.12079E+06  0.10053E+04 -0.19684E+05 -0.12479E+05  0.22519E+04  0.19325E-06 -0.26683E-06  0.25897E-06  0.00000E+00 -0.65121E-07 -0.43323E+05 -0.43388E+05 -0.43369E+05  0.13061E+05  0.11988E+03 -0.43257E+05  0.12895E+05  0.22933E+03  0.33006E+02  0.12003E+03  0.39833E+05  0.35390E+03  0.29857E+02  0.56799E+02
    31.620000   102.000000 -0.43502E-01  0.15159E+00 -0.21849E-01  0.34037E+04  0.11768E+06  0.96634E+03 -0.23581E+05 -0.12071E+05  0.26326E+04  0.18155E-06 -0.24823E-06  0.21601E-06  0.00000E+00 -0.67353E-07 -0.43656E+05 -0.43704E+05 -0.43691E+05  0.14156E+05  0.11990E+03 -0.43607E+05  0.14014E+05  0.22928E+03  0.32998E+02  0.12003E+03  0.38451E+05  0.35386E+03  0.29861E+02  0.56813E+02
    31.680000   102.000000 -0.45749E-01  0.15024E+00 -0.22413E-01  0.57595E+04  0.11383E+06  0.92316E+03 -0.26950E+05 -0.11599E+05  0.29563E+04  0.16871E-06 -0.22982E-06  0.17468E-06  0.00000E+00 -0.69094E-07 -0.43608E+05 -0.43643E+05 -0.43634E+05  0.15083E+05  0.11992E+03 -0.43573E+05  0.14963E+05  0.22923E+03  0.32991E+02  0.12003E+03  0.36860E+05  0.35381E+03  0.29864E+02  0.56825E+02
    31.740000   102.000000 -0.47695E-01  0.14828E+00 -0.22824E-01  0.80929E+04  0.10939E+06  0.87689E+03 -0.29781E+05 -0.11076E+05  0.32232E+04  0.15502E-06 -0.21190E-06  0.13541E-06  0.00000E+00 -0.70361E-07 -0.43218E+05 -0.43242E+05 -0.43237E+05  0.15838E+05  0.11994E+03 -0.43194E+05  0.15738E+05  0.22918E+03  0.32985E+02  0.12003E+03  0.35109E+05  0.35377E+03  0.29868E+02  0.56835E+02
    31.800000   102.000000 -0.49332E-01  0.14578E+00 -0.23089E-01  0.10353E+05  0.10449E+06  0.82859E+03 -0.32079E+05 -0.10517E+05  0.34349E+04  0.14077E-06 -0.19471E-06  0.98511E-07  0.00000E+00 -0.71178E-07 -0.42525E+05 -0.42541E+05 -0.42538E+05  0.16424E+05  0.11996E+03 -0.42509E+05  0.16342E+05  0.22913E+03  0.32980E+02  0.12003E+03  0.33244E+05  0.35374E+03  0.29871E+02  0.56844E+02
    31.860000   102.000000 -0.50661E-01  0.14280E+00 -0.23217E-01  0.12496E+05  0.99251E+05  0.77920E+03 -0.33862E+05 -0.99354E+04  0.35940E+04  0.12621E-06 -0.17846E-06  0.64203E-07  0.00000E+00 -0.71571E-07 -0.41571E+05 -0.41581E+05 -0.41580E+05  0.16845E+05  0.11998E+03 -0.41561E+05  0.16779E+05  0.22909E+03  0.32975E+02  0.12003E+03  0.31307E+05  0.35370E+03  0.29874E+02  0.56850E+02
    31.920000   102.000000 -0.51685E-01  0.13943E+00 -0.23217E-01  0.14488E+05  0.93799E+05  0.72955E+03 -0.35159E+05 -0.93410E+04  0.37042E+04  0.11161E-06 -0.16329E-06  0.32626E-07  0.00000E+00 -0.71571E-07 -0.40399E+05 -0.40405E+05 -0.40405E+05  0.17112E+05  0.11999E+03 -0.40392E+05  0.17058E+05  0.22905E+03  0.32972E+02  0.12003E+03  0.29337E+05  0.35366E+03  0.29877E+02  0.56855E+02
    31.980000   102.000000 -0.52417E-01  0.13573E+00 -0.23100E-01  0.16301E+05  0.88234E+05  0.68034E+03 -0.36006E+05 -0.87441E+04  0.37696E+04  0.97171E-07 -0.14929E-06  0.38502E-08  0.00000E+00 -0.71212E-07 -0.39048E+05 -0.39052E+05 -0.39052E+05  0.17235E+05  0.12001E+03 -0.39044E+05  0.17191E+05  0.22902E+03  0.32969E+02  0.12003E+03  0.27365E+05  0.35363E+03  0.29880E+02  0.56858E+02
    32.040000   102.000000 -0.52869E-01  0.13176E+00 -0.22878E-01  0.17917E+05  0.82646E+05  0.63216E+03 -0.36446E+05 -0.81531E+04  0.37949E+04  0.83100E-07 -0.13651E-06 -0.22121E-07  0.00000E+00 -0.70526E-07 -0.37559E+05 -0.37563E+05 -0.37562E+05  0.17226E+05  0.12003E+03 -0.37555E+05  0.17190E+05  0.22899E+03  0.32967E+02  0.12004E+03  0.25420E+05  0.35360E+03  0.29882E+02  0.56860E+02
    32.100000   102.000000 -0.53062E-01  0.12760E+00 -0.22561E-01  0.19324E+05  0.77113E+05  0.58548E+03 -0.36522E+05 -0.75747E+04  0.37849E+04  0.69559E-07 -0.12497E-06 -0.45334E-07  0.00000E+00 -0.69550E-07 -0.35967E+05 -0.35971E+05 -0.35969E+05  0.17101E+05  0.12004E+03 -0.35963E+05  0.17071E+05  0.22896E+03  0.32965E+02  0.12004E+03  0.23524E+05  0.35357E+03  0.29884E+02  0.56861E+02
    32.160000   102.000000 -0.53014E-01  0.12330E+00 -0.22162E-01  0.20516E+05  0.71697E+05  0.54067E+03 -0.36283E+05 -0.70144E+04  0.37445E+04  0.56681E-07 -0.11464E-06 -0.65878E-07  0.00000E+00 -0.68318E-07 -0.34305E+05 -0.34309E+05 -0.34306E+05  0.16873E+05  0.12005E+03 -0.34300E+05  0.16848E+05  0.22894E+03  0.32964E+02  0.12004E+03  0.21694E+05  0.35355E+03  0.29886E+02  0.56861E+02
    32.220000   102.000000 -0.52748E-01  0.11890E+00 -0.21689E-01  0.21497E+05  0.66449E+05  0.49798E+03 -0.35775E+05 -0.64766E+04  0.36783E+04  0.44569E-07 -0.10548E-06 -0.83874E-07  0.00000E+00 -0.66862E-07 -0.32601E+05 -0.32607E+05 -0.32602E+05  0.16557E+05  0.12006E+03 -0.32595E+05  0.16535E+05  0.22893E+03  0.32964E+02  0.12004E+03  0.19944E+05  0.35353E+03  0.29887E+02  0.56860E+02
    32.280000   102.000000 -0.52287E-01  0.11445E+00 -0.21155E-01  0.22271E+05  0.61405E+05  0.45761E+03 -0.35043E+05 -0.59643E+04  0.35910E+04  0.33299E-07 -0.97425E-07 -0.99467E-07  0.00000E+00 -0.65216E-07 -0.30882E+05 -0.30890E+05 -0.30883E+05  0.16168E+05  0.12007E+03 -0.30875E+05  0.16148E+05  0.22891E+03  0.32964E+02  0.12005E+03  0.18283E+05  0.35351E+03  0.29888E+02  0.56859E+02
    32.340000   102.000000 -0.51653E-01  0.10999E+00 -0.20570E-01  0.22849E+05  0.56594E+05  0.41966E+03 -0.34129E+05 -0.54795E+04  0.34867E+04  0.22918E-07 -0.90397E-07 -0.11282E-06  0.00000E+00 -0.63411E-07 -0.29168E+05 -0.29177E+05 -0.29169E+05  0.15718E+05  0.12008E+03 -0.29160E+05  0.15701E+05  0.22890E+03  0.32964E+02  0.12005E+03  0.16716E+05  0.35350E+03  0.29889E+02  0.56857E+02
    32.400000   102.000000 -0.50869E-01  0.10555E+00 -0.19942E-01  0.23244E+05  0.52033E+05  0.38418E+03 -0.33071E+05 -0.50234E+04  0.33692E+04  0.13451E-07 -0.84308E-07 -0.12409E-06  0.00000E+00 -0.61474E-07 -0.27477E+05 -0.27487E+05 -0.27477E+05  0.15222E+05  0.12008E+03 -0.27468E+05  0.15205E+05  0.22889E+03  0.32965E+02  0.12005E+03  0.15248E+05  0.35348E+03  0.29889E+02  0.56855E+02
    32.460000   102.000000 -0.49955E-01  0.10115E+00 -0.19280E-01  0.23472E+05  0.47733E+05  0.35115E+03 -0.31904E+05 -0.45965E+04  0.32420E+04  0.49034E-08 -0.79065E-07 -0.13346E-06  0.00000E+00 -0.59433E-07 -0.25823E+05 -0.25834E+05 -0.25823E+05  0.14688E+05  0.12009E+03 -0.25812E+05  0.14673E+05  0.22888E+03  0.32966E+02  0.12005E+03  0.13878E+05  0.35347E+03  0.29889E+02  0.56852E+02
    32.520000   102.000000 -0.48931E-01  0.96833E-01 -0.18592E-01  0.23549E+05  0.43697E+05  0.32054E+03 -0.30657E+05 -0.41988E+04  0.31079E+04 -0.27377E-08 -0.74577E-07 -0.14111E-06  0.00000E+00 -0.57313E-07 -0.24217E+05 -0.24229E+05 -0.24217E+05  0.14129E+05  0.12009E+03 -0.24206E+05  0.14115E+05  0.22888E+03  0.32967E+02  0.12005E+03  0.12604E+05  0.35346E+03  0.29889E+02  0.56850E+02
    32.580000   102.000000 -0.47817E-01  0.92603E-01 -0.17885E-01  0.23492E+05  0.39925E+05  0.29227E+03 -0.29357E+05 -0.38295E+04  0.29696E+04 -0.94985E-08 -0.70752E-07 -0.14719E-06  0.00000E+00 -0.55134E-07 -0.22667E+05 -0.22680E+05 -0.22667E+05  0.13553E+05  0.12010E+03 -0.22655E+05  0.13539E+05  0.22887E+03  0.32968E+02  0.12005E+03  0.11426E+05  0.35346E+03  0.29889E+02  0.56848E+02
    32.640000   102.000000 -0.46629E-01  0.88478E-01 -0.17166E-01  0.23317E+05  0.36410E+05  0.26624E+03 -0.28027E+05 -0.34879E+04  0.28293E+04 -0.15416E-07 -0.67504E-07 -0.15186E-06  0.00000E+00 -0.52918E-07 -0.21180E+05 -0.21193E+05 -0.21179E+05  0.12967E+05  0.12010E+03 -0.21167E+05  0.12953E+05  0.22887E+03  0.32969E+02  0.12005E+03  0.10338E+05  0.35345E+03  0.29888E+02  0.56845E+02
    32.700000   102.000000 -0.45383E-01  0.84469E-01 -0.16441E-01  0.23040E+05  0.33146E+05  0.24233E+03 -0.26683E+05 -0.31727E+04  0.26886E+04 -0.20535E-07 -0.64753E-07 -0.15529E-06  0.00000E+00 -0.50682E-07 -0.19759E+05 -0.19772E+05 -0.19758E+05  0.12378E+05  0.12010E+03 -0.19746E+05  0.12365E+05  0.22887E+03  0.32971E+02  0.12005E+03  0.93370E+04  0.35345E+03  0.29888E+02  0.56843E+02
    32.760000   102.000000 -0.44093E-01  0.80585E-01 -0.15714E-01  0.22677E+05  0.30122E+05  0.22042E+03 -0.25343E+05 -0.28827E+04  0.25491E+04 -0.24907E-07 -0.62424E-07 -0.15761E-06  0.00000E+00 -0.48441E-07 -0.18407E+05 -0.18419E+05 -0.18406E+05  0.11791E+05  0.12010E+03 -0.18394E+05  0.11779E+05  0.22887E+03  0.32972E+02  0.12005E+03  0.84177E+04  0.35345E+03  0.29887E+02  0.56840E+02
